competenciamov,regiao,uf,municipio,secao,subclasse,saldomovimentacao,cbo2002ocupacao,categoria,graudeinstrucao,idade,horascontratuais,racacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentacao,tipodedeficiencia,indtrabintermitente,indtrabparcial,salario,tamestabjan,indicadoraprendiz,origemdainformacao,competenciadec,indicadordeforadoprazo,unidadesalariocodigo,valorsalariofixo
202601,4,43,431490,N,8111700,-1,517420,101,6,29,"44,00",1,1,0,1,43,0,0,0,"1991,06",6,0,1,202601,0,5,"1991,06"
202601,4,43,431490,N,8111700,-1,514320,101,5,45,"44,00",1,3,0,1,40,0,0,0,"1652,20",4,0,1,202601,0,1,"7,51"
202601,4,43,431490,N,8111700,1,517410,101,7,53,"44,00",3,3,0,1,97,0,0,0,"2126,25",7,0,1,202601,0,5,"2126,25"
202601,4,43,431490,N,8111700,1,514320,101,7,31,"44,00",3,1,0,1,97,0,0,0,"1765,86",2,0,1,202601,0,5,"1765,86"
202601,4,43,430440,N,8121400,1,514320,101,7,19,"40,00",1,3,0,1,97,0,0,0,"1765,86",4,0,1,202601,0,5,"1765,86"
202601,4,43,431490,N,8111700,-1,422205,101,7,28,"30,00",1,3,0,1,31,0,0,0,"1663,71",10,0,1,202601,0,5,"1663,71"
202601,4,43,430920,N,8121400,1,514320,101,6,40,"44,00",2,3,0,1,97,0,0,0,"1653,61",8,0,1,202601,0,5,"1653,61"
202601,4,43,430350,N,8020001,-1,951315,101,7,26,"44,00",1,3,0,1,31,0,0,0,"1997,60",5,0,1,202601,0,1,"9,08"
202601,4,43,431490,N,8111700,1,514320,111,7,51,"44,00",3,1,0,1,97,0,1,0,"1766,60",3,0,1,202601,0,1,"8,03"
202601,4,43,431490,N,8129000,-1,514320,101,6,24,"44,00",1,3,0,1,43,0,0,0,"1765,86",9,0,1,202601,0,5,"1765,86"
202601,4,43,430460,N,8129000,1,514320,101,5,45,"44,00",1,3,0,1,97,0,0,0,"1765,86",7,0,1,202601,0,5,"1765,86"
202601,4,43,431350,N,8111700,1,517420,101,8,27,"44,00",1,1,0,1,97,0,0,0,"1667,60",5,0,1,202601,0,5,"1667,60"
202601,4,43,431760,N,8111700,-1,517410,101,7,46,"44,00",1,3,0,1,31,0,0,0,"2242,00",8,0,1,202601,0,5,"2242,00"
202601,4,43,431490,N,8121400,1,514320,101,7,29,"20,00",2,3,0,1,97,0,0,0,"751,63",6,0,1,202601,0,5,"751,63"
202601,4,43,431490,N,8121400,1,514320,101,7,29,"40,00",2,3,0,1,97,0,0,0,"1605,33",9,0,1,202601,0,5,"1605,33"
202601,4,43,431490,E,3811400,1,782310,101,5,28,"44,00",3,1,0,1,97,0,0,0,"2185,73",3,0,1,202601,0,5,"2185,73"
202601,4,43,431490,N,8129000,1,514320,101,7,53,"44,00",3,1,0,1,97,0,0,0,"1653,58",6,0,1,202601,0,5,"1653,58"
202601,4,43,430060,N,8111700,1,514325,101,2,62,"24,00",1,3,0,1,97,0,0,0,"963,19",5,0,1,202601,0,5,"963,19"
202601,4,43,431490,N,8121400,1,514320,101,2,37,"22,00",3,3,0,1,97,0,0,0,"826,80",7,0,1,202601,0,5,"826,80"
