cnae_fiscal;2021;2022;2023;2024;2025;2026;cnae
8111700;97;217;189;190;195;199;SERVIÇOS COMBNADOS PARA APOIO A EDIFÍCIOS, EXCETO CONDOMÍNIOS PREDIAIS
8121400;657;659;788;919;900;984;LIMPEZA EM PRÉDIOS E DOMICÍLIOS
8129000;874;1225;303;319;322;319;ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE
9700500;0;0;1;0;2;2;UNIDADES DOMICILIARES QUE CONTRATAM EMPREGADOS DOMÉSTICOS PARA PRESTAÇÃO DE SERVIÇOS DE CAMAREIRO DOMÉSTICO
3821100;40;38;48;56;57;61;OPERAÇÃO DE DEPÓSITOS DE LIXO E ATERROS SANITÁRIOS PARA DISPOSIÇÃO DE RESÍDUOS NÃO-PERIGOSOS
8020001;126;161;231;221;242;244;MONITORAMENTO DE EQUIPAMENTOS DE SEGURANÇA COM A VENDA, INSTALAÇÃO E MANUTENÇÃO ASSOCIADAS
3811400;336;311;284;322;346;377;SERVIÇOS DE LIMPEZA URBANA, EXCETO GESTÃO DE ATERROS SANITÁRIOS
8130300;7;15;11;30;32;33;SERVIÇOS DE PAISAGISMO, LIMPEZA, MANUTENÇÃO, PLANTIO DE JARDINS
8122200;27;32;34;42;39;42;ATIVIDADE DE COMBATE E CONTROLE DE PRAGAS URBANAS
3839401;0;0;1;2;2;2;OBTENÇÃO DE COMPOSTOS ORGÂNICOS PARA FERTILIZAÇÃO DO SOLO A PARTIR DE PROCESSO DE DEGRADAÇÃO BIOLÓGICA DE RESÍDUOS ORGÂNICOS (RESTOS DE ALIMENTOS, ESTERCOS ANIMAIS, RESTOS DE CULTURAS AGRÍCOLAS)
3812200;30;28;24;26;25;26;COLETA DE RESÍDUOS PERIGOSOS QUALQUER ESTADO FÍSICO (SÓLIDO, LÍQUIDO, PASTOSO, GRANULADO)
