subclasse,municipio,saldomovimentacao,competenciamov
8020001,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8020001,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8121400,431690,1,202601
8129000,431690,-1,202601
8121400,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8121400,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8020001,431690,1,202601
3811400,431690,1,202601
8129000,431690,1,202601
8111700,431690,1,202601
8121400,431690,1,202601
8111700,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8020001,431690,-1,202601
8129000,431690,1,202601
3811400,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8020001,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8111700,431690,1,202601
8121400,431690,-1,202601
8129000,431690,-1,202601
8020001,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
3821100,431690,1,202601
8129000,431690,-1,202601
8121400,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8121400,431690,1,202601
8020001,431690,1,202601
8111700,431690,-1,202601
8111700,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8111700,431690,1,202601
8129000,431690,-1,202601
8111700,431690,-1,202601
8020001,431690,1,202601
8129000,431690,1,202601
8020001,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8121400,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8121400,431690,1,202601
8129000,431690,-1,202601
8121400,431690,-1,202601
8129000,431690,1,202601
8121400,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
3821100,431690,1,202601
8129000,431690,-1,202601
8121400,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8121400,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8020001,431690,-1,202601
8129000,431690,1,202601
8121400,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
3821100,431690,-1,202601
8121400,431690,1,202601
3811400,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8020001,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8121400,431690,-1,202601
8129000,431690,1,202601
8121400,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8121400,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8020001,431690,1,202601
8129000,431690,1,202601
8121400,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8111700,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8020001,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
9700500,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8111700,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8121400,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8121400,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8121400,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8121400,431690,-1,202601
8129000,431690,-1,202601
8121400,431690,-1,202601
8129000,431690,-1,202601
8020001,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8121400,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8121400,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8121400,431690,1,202601
8129000,431690,1,202601
8020001,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8020001,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8129000,431690,1,202601
3811400,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
3811400,431690,1,202601
8129000,431690,-1,202601
8129000,431690,-1,202601
8129000,431690,1,202601
8020001,431690,1,202601
8129000,431690,-1,202601
8121400,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8129000,431690,1,202601
8121400,431690,1,202601
8129000,431690,-1,202601
8121400,431690,1,202601
8129000,431690,1,202601
8111700,431690,1,202601
8129000,431690,1,202601
8129000,431690,-1,202601
