subclasse,municipio,saldomovimentacao,competenciamov
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
4722901,355030,1,202501
4722901,355030,-1,202501
