cnae_2.0_subclasse,municipio,vinculo_ativo_31_12
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
4722901,355030,1
